titleid,rating,title,isAdult,startYear,runtimeMinutes,genres
tt0000075The Conjuring of a Woman at the House of Robert Houdin,6.3,The Conjuring of a Woman at the House of Robert Houdin,0,1896,1,Horror
tt0000076Exit of Rip and the Dwarf,4.5,Exit of Rip and the Dwarf,0,1896,1,Drama
tt0000077Le fakir mystère indien,4.6,Le fakir mystère indien,0,1896,\N,Short
tt0000078Feira de Gado na Corujeira,3.9,Feira de Gado na Corujeira,0,1896,1,Documentary
tt0000079La gare Saint-Lazare,4.4,La gare Saint-Lazare,0,1896,\N,Documentary
tt0000080Grandes manoeuvres,4.1,Grandes manoeuvres,0,1896,\N,Documentary
tt0000081Towing a Boat on the River,4.2,Towing a Boat on the River,0,1896,\N,Documentary
tt0000082A Hard Wash,4.8,A Hard Wash,0,1896,\N,Comedy
tt0000083Les indiscrets,4.7,Les indiscrets,0,1896,\N,Short
tt0000084Les ivrognes,4.5,Les ivrognes,0,1896,\N,Short
tt0000085Gardener Burning Weeds,4.7,Gardener Burning Weeds,0,1896,\N,Short
tt0000086Beach and Pier at Trouville 1st part,4.3,Beach and Pier at Trouville 1st part,0,1896,\N,Documentary
tt0000087Beach and Pier at Trouville 2nd part,4.7,Beach and Pier at Trouville 2nd part,0,1896,\N,Documentary
tt0000088Market Day,4.3,Market Day,0,1896,\N,Documentary
tt0000089Leaving Jerusalem by Railway,6.3,Leaving Jerusalem by Railway,0,1897,1,Documentary
tt0000090Libération des territoriaux,4.1,Libération des territoriaux,0,1896,\N,Documentary
tt0000091The House of the Devil,6.7,The House of the Devil,0,1896,3,Horror
tt0000092Marée montante sur Brise-Larmes,4.7,Marée montante sur Brise-Larmes,0,1896,\N,Documentary
tt0000093Melbourne,4.8,Melbourne,0,1896,\N,Documentary
tt0000094Miss de Vere,4.5,Miss de Vere,0,1896,\N,Short
tt0000095The Mysterious Paper,4.8,The Mysterious Paper,0,1896,\N,Short
tt0000096Place Saint-Augustin,4.5,Place Saint-Augustin,0,1896,\N,Documentary
tt0000097Place de l'Opéra First View,5,Place de l'Opéra First View,0,1896,\N,Documentary
tt0000098Place de l'Opéra Second View,5.1,Place de l'Opéra Second View,0,1896,\N,Documentary
tt0000099Place de la Bastille,4.7,Place de la Bastille,0,1896,\N,Documentary
tt0000100Place de la Concorde,4.8,Place de la Concorde,0,1896,\N,Documentary
tt0000101Place du théâtre français,4.7,Place du théâtre français,0,1896,\N,Documentary
tt0000102The Beach at Villiers in a Gale,4.8,The Beach at Villiers in a Gale,0,1896,\N,Short
tt0000103Smarter than the Teacher,5.4,Smarter than the Teacher,0,1896,\N,Short
tt0000104Pompiers à Lyon,5.6,Pompiers à Lyon,0,1896,1,Documentary
tt0000105The Docks at Marseilles,5,The Docks at Marseilles,0,1896,\N,Documentary
tt0000106Retour au cantonnement,4.5,Retour au cantonnement,0,1896,\N,Short
tt0000107Naval Review at Cherburg,5.2,Naval Review at Cherburg,0,1896,\N,Documentary
tt0000108Rip Leaving Sleepy Hollow,4.4,Rip Leaving Sleepy Hollow,0,1896,1,Drama
tt0000109Rip Meeting the Dwarf,4.5,Rip Meeting the Dwarf,0,1896,1,Fantasy
tt0000110Rip Passing Over the Mountain,4.4,Rip Passing Over the Mountain,0,1896,1,Fantasy
tt0000111Rip's Toast,4.5,Rip's Toast,0,1896,1,Drama
tt0000112Rip's Toast to Hudson,4.5,Rip's Toast to Hudson,0,1896,1,Fantasy
tt0000113Rip's Twenty Years' Sleep,4.3,Rip's Twenty Years' Sleep,0,1896,0,Drama
tt0000114French Regiment Going to the Parade,5.1,French Regiment Going to the Parade,0,1896,\N,Documentary
tt0000115Réunion d'officiers,4.8,Réunion d'officiers,0,1896,\N,Documentary
tt0000116Sac au dos,5.1,Sac au dos,0,1896,\N,Short
tt0000117Saída do Pessoal Operário da Fábrica Confiança,5.2,Saída do Pessoal Operário da Fábrica Confiança,0,1896,1,Documentary
tt0000118Salut malencontreux d'un déserteur,5.1,Salut malencontreux d'un déserteur,0,1896,\N,Short
tt0000119Rescue on the River Pt. 2,5.3,Rescue on the River Pt. 2,0,1896,\N,Documentary
tt0000120Rescue on the River Pt. 1,5.2,Rescue on the River Pt. 1,0,1896,\N,Documentary
tt0000121The Soldier's Courtship,4.3,The Soldier's Courtship,0,1896,1,Comedy
tt0000122Closing Hours at Vibert's Perfume Factory,5.1,Closing Hours at Vibert's Perfume Factory,0,1896,\N,Documentary
tt0000123Conjuring,5.7,Conjuring,0,1896,\N,Short
tt0000124Tempête sur la jetée du treport,5.1,Tempête sur la jetée du treport,0,1896,\N,Documentary
tt0000125The Terrible Railway Accident,4.8,The Terrible Railway Accident,0,1896,\N,Short
tt0000126Tom Old Boot,5.5,Tom Old Boot,0,1896,\N,Short
tt0000127Les tribulations d'un concierge,4.6,Les tribulations d'un concierge,0,1896,\N,Comedy
tt0000128Academy for Young Ladies,5.6,Academy for Young Ladies,0,1896,\N,Short
tt0000129Un petit diable,6.5,Un petit diable,0,1896,\N,Short
tt0000130Une altercation au café,5.1,Une altercation au café,0,1896,\N,Short
tt0000131A Terrible Night,5.8,A Terrible Night,0,1896,1,Comedy
tt0000132Card Party,5.1,Card Party,0,1896,1,Biography
tt0000133La voiture du potier,6.1,La voiture du potier,0,1896,\N,Short
tt0000134The Wandering Negro Minstrels,4.7,The Wandering Negro Minstrels,0,1896,\N,Music
tt0000135A Watermelon Feast,6.6,A Watermelon Feast,0,1896,\N,Documentary
tt0000137Au réfectoire,4.6,Au réfectoire,0,1897,\N,Comedy
tt0000138The Bewitched Inn,6.5,The Bewitched Inn,0,1897,2,Comedy
tt0000139L'aveugle,5.3,L'aveugle,0,1897,\N,Short
tt0000140Baignade dans le torrent,4.9,Baignade dans le torrent,0,1897,1,Short
tt0000141Ballet libella,5.2,Ballet libella,0,1897,2,Documentary
tt0000142Buffalo Bill and Escort,4.7,Buffalo Bill and Escort,0,1897,\N,News
tt0000143Les cambrioleurs,4.9,Les cambrioleurs,0,1897,1,Comedy
tt0000144Chez le magnétiseur,5.1,Chez le magnétiseur,0,1897,1,Comedy
tt0000145En classe,3.9,En classe,0,1897,\N,Comedy
tt0000146Le cocher de fiacre endormi,5.1,Le cocher de fiacre endormi,0,1897,\N,Comedy
tt0000147The Corbett-Fitzsimmons Fight,5.2,The Corbett-Fitzsimmons Fight,0,1897,20,Documentary
tt0000148Le Coucher d'Yvette,3.7,Le Coucher d'Yvette,0,1897,\N,Short
tt0000149Behind the Scenes,4.6,Behind the Scenes,0,1897,\N,Comedy
tt0000150Danse fleur de lotus,5.4,Danse fleur de lotus,0,1897,1,Documentary
tt0000151Faust et Marguerite,4.9,Faust et Marguerite,0,1897,\N,Short
tt0000152The Hallucinated Alchemist,6.1,The Hallucinated Alchemist,0,1897,2,Fantasy
tt0000153The Haunted Castle,5.7,The Haunted Castle,0,1897,1,Horror
tt0000154Henley Regatta,4.1,Henley Regatta,0,1897,\N,News
tt0000155The Hypnotist at Work,5.1,The Hypnotist at Work,0,1897,\N,Short
tt0000156A Badly Managed Hotel,4.1,A Badly Managed Hotel,0,1896,\N,Comedy
tt0000157Idylle,4.1,Idylle,0,1897,\N,Short
tt0000158Idylle interrompue,3.5,Idylle interrompue,0,1897,\N,Comedy
tt0000159The Devil's Laboratory,5.3,The Devil's Laboratory,0,1897,1,Horror
tt0000160The Last Days of Pompeii,5.3,The Last Days of Pompeii,0,1900,\N,Drama
tt0000161Leçon de danse,3.9,Leçon de danse,0,1897,\N,Comedy
tt0000162Niagara Falls,5.4,Niagara Falls,0,1897,1,Documentary
tt0000163Le planton du colonel,5.1,Le planton du colonel,0,1897,\N,Comedy
tt0000164Le pêcheur dans le torrent,5.1,Le pêcheur dans le torrent,0,1897,1,Comedy
tt0000165Riña en un café,4.7,Riña en un café,0,1897,1,Short
tt0000166Salida de los trabajadores de la fábrica España Industrial,3.8,Salida de los trabajadores de la fábrica España Industrial,0,1897,1,Documentary
tt0000167Salida de misa de doce del Pilar de Zaragoza,4,Salida de misa de doce del Pilar de Zaragoza,0,1897,\N,Documentary
tt0000168Salida del público de la iglesia parroquial de Santa María de Sans,3.5,Salida del público de la iglesia parroquial de Santa María de Sans,0,1897,1,Documentary
tt0000169Slagsmål i gamla Stockholm,3.8,Slagsmål i gamla Stockholm,0,1897,1,Short
tt0000170The Twins' Tea Party,5.2,The Twins' Tea Party,0,1896,1,Comedy
tt0000171Une nuit agitée,4.5,Une nuit agitée,0,1897,\N,Comedy
tt0000172The X-Ray Fiend,6.1,The X-Ray Fiend,0,1897,1,Comedy
tt0000173Battle of Santiago Bay,4.9,Battle of Santiago Bay,0,1898,\N,Short
tt0000174Výstavní párkar a lepic plakátù,4.6,Výstavní párkar a lepic plakátù,0,1898,1,Comedy
tt0000175A Sea Cave Near Lisbon,5,A Sea Cave Near Lisbon,0,1896,1,Documentary
tt0000176Brittania,4.9,Brittania,0,1898,\N,Short
tt0000177The Burglar on the Roof,4.6,The Burglar on the Roof,0,1898,1,Crime
tt0000178The Cavalier's Dream,5.2,The Cavalier's Dream,0,1898,1,Horror
tt0000179The Cave of the Demons,4.5,The Cave of the Demons,0,1898,\N,Horror
tt0000180Le chemin de croix,0,Le chemin de croix,0,1898,\N,Short
tt0000181Cinderella,6.8,Cinderella,0,1898,\N,Fantasy
tt0000182Come Along Do!,4.9,Come Along Do!,0,1898,1,Comedy
tt0000183The Corsican Brothers,6,The Corsican Brothers,0,1898,\N,Drama
tt0000184Cripple Creek Bar-Room Scene,4.9,Cripple Creek Bar-Room Scene,0,1899,1,Short
tt0000185La crèche à Bethléem,0,La crèche à Bethléem,0,1898,\N,Short
tt0000186Le cuirassé Maine,4.2,Le cuirassé Maine,0,1898,\N,Short
tt0000187La cène,5,La cène,0,1898,1,Short
tt0000188The Deserter,4,The Deserter,0,1898,\N,Drama
tt0000189Dorotea,0,Dorotea,0,1898,\N,Short
tt0000190Dostavenícko ve mlýnici,4.9,Dostavenícko ve mlýnici,0,1898,1,Comedy
tt0000191Déménagement à la cloche de bois,0,Déménagement à la cloche de bois,0,1898,\N,Short
tt0000192Ella Lola a la Trilby,4.6,Ella Lola a la Trilby,0,1898,\N,Short
tt0000193L'entrée à Jérusalem,0,L'entrée à Jérusalem,0,1898,\N,Short
tt0000194Express Train on a Railway Cutting,5.4,Express Train on a Railway Cutting,0,1898,\N,Documentary
tt0000195Les farces de Jocko,0,Les farces de Jocko,0,1898,\N,Comedy
tt0000196Faust and Mephistopheles,5.2,Faust and Mephistopheles,0,1898,\N,Fantasy
tt0000197La flagellation,4.4,La flagellation,0,1898,1,Short
tt0000198La fuite en Égypte,4.4,La fuite en Égypte,0,1898,1,Short
tt0000199Glasgow Fire Engine,4.3,Glasgow Fire Engine,0,1898,\N,Short
tt0000200Gran corrida de toros,0,Gran corrida de toros,0,1898,\N,Documentary
tt0000201Indian War Council,0,Indian War Council,0,1898,\N,News
tt0000202Le jardin des oliviers,0,Le jardin des oliviers,0,1898,\N,Short
tt0000203Je vous y prrrrends!,0,Je vous y prrrrends!,0,1898,\N,Short
tt0000204Jésus devant Pilate,5.7,Jésus devant Pilate,0,1898,\N,Short
tt0000205Leçons de boxe,5,Leçons de boxe,0,1898,1,Comedy
tt0000206Llegada de un tren a la estación de ferrocarril del Norte de Barcelona,5,Llegada de un tren a la estación de ferrocarril del Norte de Barcelona,0,1898,\N,Documentary
tt0000207London Express,5.5,London Express,0,1898,\N,Documentary
tt0000208The Miller and Chimney Sweep,5.7,The Miller and Chimney Sweep,0,1897,1,Comedy
tt0000209Photographing a Ghost,4.7,Photographing a Ghost,0,1898,\N,Horror
tt0000210A Novice at X-rays,4.9,A Novice at X-rays,0,1898,1,Short
tt0000212Saida do Paquete Duque de Braganca,0,Saida do Paquete Duque de Braganca,0,1898,\N,Short
tt0000213Scène d'escamotage,4.6,Scène d'escamotage,0,1898,1,Short
tt0000214Tearing Down the Spanish Flag,4.4,Tearing Down the Spanish Flag,0,1898,\N,Short
tt0000215Smích a plác,4.1,Smích a plác,0,1898,\N,Documentary
tt0000216Visita de Doña María Cristina y Alfonso XIII a Barcelona,0,Visita de Doña María Cristina y Alfonso XIII a Barcelona,0,1898,\N,News
tt0000217Waves and Spray,0,Waves and Spray,0,1898,\N,Short
tt0000218L'affaire Dreyfus,5.9,L'affaire Dreyfus,0,1899,13,Biography
tt0000219Aladdin and the Wonderful Lamp,6.6,Aladdin and the Wonderful Lamp,0,1899,\N,Fantasy
tt0000220The Artist and the Flower Girl,0,The Artist and the Flower Girl,0,1901,\N,Romance
tt0000221Aspectos da Praia de Cascais,0,Aspectos da Praia de Cascais,0,1899,\N,Documentary
tt0000222Au cabaret,4.7,Au cabaret,0,1899,1,Comedy
tt0000223L'aveugle,5.4,L'aveugle,0,1899,\N,Short
tt0000224Battlefield,0,Battlefield,0,1899,\N,Short
tt0000225Beauty and the Beast,5.2,Beauty and the Beast,0,1899,\N,Family
tt0000226Boat Race,0,Boat Race,0,1899,\N,Short
tt0000227Bombardment of Mafeking,0,Bombardment of Mafeking,0,1899,\N,Drama
tt0000228La bonne absinthe,4.9,La bonne absinthe,0,1899,1,Short
tt0000229Casey at the Bat,4.4,Casey at the Bat,0,1899,1,Short
tt0000230Cinderella,6.5,Cinderella,0,1899,6,Drama
tt0000231Portuguese Railway Train,3.6,Portuguese Railway Train,0,1896,1,Documentary
tt0000232Le chiffonnier,0,Le chiffonnier,0,1899,\N,Comedy
tt0000233Choque de dos transatlánticos,6,Choque de dos transatlánticos,0,1899,2,Animation
tt0000234Cleopatra's Tomb,6,Cleopatra's Tomb,0,1899,1,Horror
tt0000235Haggard's She: The Pillar of Fire,6.3,Haggard's She: The Pillar of Fire,0,1899,1,Adventure
tt0000236Courte échelle,0,Courte échelle,0,1899,\N,Short
tt0000237Le crucifiement,0,Le crucifiement,0,1899,\N,Short
tt0000238Les dangers de l'alcoolisme,0,Les dangers de l'alcoolisme,0,1899,\N,Drama
tt0000239Danse serpentine par Mme. Bob Walter,5.5,Danse serpentine par Mme. Bob Walter,0,1899,2,Short
tt0000240Distributing a War Extra,4.4,Distributing a War Extra,0,1899,1,Documentary
tt0000241La descente de croix,0,La descente de croix,0,1899,\N,Short
tt0000242The Sign of the Cross,6.4,The Sign of the Cross,0,1899,3,Fantasy
tt0000243Le déjeuner des enfants,0,Le déjeuner des enfants,0,1899,\N,Comedy
tt0000244Erreur judiciaire,0,Erreur judiciaire,0,1899,\N,Short
tt0000245The Haunted House,6.2,The Haunted House,0,1899,\N,Comedy
tt0000246A Turn of the Century Illusionist,6.4,A Turn of the Century Illusionist,0,1899,1,Fantasy
tt0000247King John,5,King John,0,1899,5,Drama
tt0000248A Kiss in the Tunnel,6,A Kiss in the Tunnel,0,1899,1,Comedy
tt0000249The Legacy,0,The Legacy,0,1899,\N,Short
tt0000250Llegada del vapor Bellver a Mallorca,0,Llegada del vapor Bellver a Mallorca,0,1899,3,Documentary
tt0000251Matches: An Appeal,5.4,Matches: An Appeal,0,1899,1,Animation
tt0000252La mauvaise soupe,0,La mauvaise soupe,0,1899,\N,Comedy
tt0000253The Miser's Doom,4.4,The Miser's Doom,0,1899,\N,Horror
tt0000254Monnaie de lapin,0,Monnaie de lapin,0,1899,\N,Comedy
tt0000255Mésaventure d'un charbonnier,0,Mésaventure d'un charbonnier,0,1899,\N,Comedy
tt0000256Panorama from the Tower of the Brooklyn Bridge,4.7,Panorama from the Tower of the Brooklyn Bridge,0,1899,\N,Documentary
tt0000257La résurrection,0,La résurrection,0,1899,\N,Short
tt0000258Le tondeur de chiens,0,Le tondeur de chiens,0,1899,\N,Comedy
tt0000259Le tonnelier,0,Le tonnelier,0,1899,\N,Comedy
tt0000260Transformations,0,Transformations,0,1899,\N,Comedy
tt0000261A Midnight Episode,5.4,A Midnight Episode,0,1899,1,Comedy
tt0000262Un lunch,0,Un lunch,0,1899,\N,Comedy
tt0000263Vista de la entrada principal de la plaza de toros de Jerez el segundo día de feria,0,Vista de la entrada principal de la plaza de toros de Jerez el segundo día de feria,0,1899,\N,Documentary
tt0000264Summoning the Spirits,5.7,Summoning the Spirits,0,1899,1,Fantasy
tt0000265Above the Limit,4.3,Above the Limit,0,1900,\N,Comedy
tt0000266Above the Speedway,0,Above the Speedway,0,1900,\N,Documentary
tt0000267L'angélus,0,L'angélus,0,1900,\N,Short
tt0000268L'arléquine,0,L'arléquine,0,1900,\N,Short
tt0000270Arrivée d'Arléquin,0,Arrivée d'Arléquin,0,1900,\N,Short
tt0000271Arrivée de Pierette et Pierrot,6.2,Arrivée de Pierette et Pierrot,0,1900,\N,Short
tt0000272As Seen Through a Telescope,5.6,As Seen Through a Telescope,0,1900,1,Comedy
tt0000273Attack on a China Mission,5.5,Attack on a China Mission,0,1900,4,Action
tt0000274Avenue de l'opéra,5.6,Avenue de l'opéra,0,1900,1,Comedy
tt0000275Badinage,0,Badinage,0,1900,\N,Short
tt0000276Bataille d'oreillers,6.9,Bataille d'oreillers,0,1900,\N,Short
tt0000277Bataille de boules de neige,6.2,Bataille de boules de neige,0,1900,\N,Short
tt0000278Buffalo Bill's Show Parade,6,Buffalo Bill's Show Parade,0,1900,\N,Short
tt0000279Buffalo Bill's Wild West Parade,4.4,Buffalo Bill's Wild West Parade,0,1900,\N,News
tt0000280Buffalo Bill's Wild West Parade,4.7,Buffalo Bill's Wild West Parade,0,1900,\N,News
tt0000281Buffalo Bill's Wild West Show,5,Buffalo Bill's Wild West Show,0,1900,\N,News
tt0000282Le bébé,0,Le bébé,0,1900,\N,Short
tt0000283Chez le Maréchal-Ferrant,5.8,Chez le Maréchal-Ferrant,0,1900,\N,Short
tt0000284Chez le photographe,5.3,Chez le photographe,0,1900,1,Short
tt0000285Chinese Magic,5,Chinese Magic,0,1900,\N,Horror
tt0000286Chirurgie fin de siècle,5.7,Chirurgie fin de siècle,0,1900,2,Comedy
tt0000287The Clown and the Alchemist,4.9,The Clown and the Alchemist,0,1900,1,Comedy
tt0000288La concierge,5.2,La concierge,0,1900,1,Comedy
tt0000289Coucher d'une Parisienne,0,Coucher d'une Parisienne,0,1900,\N,Short
tt0000290Dance de l'ivresse,0,Dance de l'ivresse,0,1900,\N,Short
tt0000291Dans les coulisses,0,Dans les coulisses,0,1900,\N,Short
tt0000292Danse du papillon,5.4,Danse du papillon,0,1900,\N,Documentary
tt0000293Danse du pas des foulards par des almées,0,Danse du pas des foulards par des almées,0,1900,\N,Short
tt0000294La danse du ventre,0,La danse du ventre,0,1900,\N,Short
tt0000295Danse du voile,0,Danse du voile,0,1900,\N,Short
tt0000296Danse serpentine,5.8,Danse serpentine,0,1900,2,Documentary
tt0000297Danses,0,Danses,0,1900,\N,Short
tt0000298Déclaration d'amour,0,Déclaration d'amour,0,1900,\N,Short
tt0000299Le départ d'Arlequin et de Pierrette,5.6,Le départ d'Arlequin et de Pierrette,0,1900,2,Short
tt0000300The Enchanted Drawing,6.9,The Enchanted Drawing,0,1900,2,Animation
tt0000301Faust and Marguerite,4.4,Faust and Marguerite,0,1900,1,Fantasy
tt0000302La fée aux choux ou la naissance des enfants,5.1,La fée aux choux ou la naissance des enfants,0,1900,1,Short
tt0000303Gavotte directoire,0,Gavotte directoire,0,1900,\N,Short
tt0000304Grandma's Reading Glass,6.1,Grandma's Reading Glass,0,1900,2,Family
tt0000305L'Habanera,0,L'Habanera,0,1900,\N,Short
tt0000306Le duel d'Hamlet,5.4,Le duel d'Hamlet,0,1900,2,Drama
tt0000307Happy Hooligan,4.9,Happy Hooligan,0,1900,\N,Comedy
tt0000308The House That Jack Built,5.4,The House That Jack Built,0,1900,1,Short
tt0000309How It Feels to Be Run Over,6.1,How It Feels to Be Run Over,0,1900,1,Comedy
tt0000310Chimmie Hicks and the Rum Omelet,7.3,Chimmie Hicks and the Rum Omelet,0,1900,\N,Comedy
tt0000312Le lapin,0,Le lapin,0,1900,\N,Short
tt0000313Let Me Dream Again,5.8,Let Me Dream Again,0,1900,1,Comedy
tt0000314Leçon de danse,0,Leçon de danse,0,1900,\N,Short
tt0000315Le marchand de coco,0,Le marchand de coco,0,1900,\N,Short
tt0000316Marché à la volaille,0,Marché à la volaille,0,1900,\N,Short
tt0000317Le matelot,0,Le matelot,0,1900,\N,Short
tt0000318Eine moderne Jungfrau von Orleans,5.3,Eine moderne Jungfrau von Orleans,0,1900,\N,Short
tt0000319Maple Leaf Viewing,5.7,Maple Leaf Viewing,0,1899,6,Horror
tt0000320Mort d'Adonis,0,Mort d'Adonis,0,1900,\N,Short
tt0000321The Mystic Swing,4.9,The Mystic Swing,0,1900,1,Fantasy
tt0000322Panorama de Barcelona: monumentos y fiestas,0,Panorama de Barcelona: monumentos y fiestas,0,1900,6,Documentary
tt0000323Pas Japonais,0,Pas Japonais,0,1900,\N,Short
tt0000324Pas de grâce,0,Pas de grâce,0,1900,\N,Short
tt0000325Pas des éventails,0,Pas des éventails,0,1900,\N,Short
tt0000326Pas du poignard,0,Pas du poignard,0,1900,\N,Short
tt0000327La paysanne,0,La paysanne,0,1900,\N,Short
tt0000328La petite magicienne,6.1,La petite magicienne,0,1900,1,Short
tt0000329Le Polichinelle,0,Le Polichinelle,0,1900,\N,Short
tt0000330La poupée noire,0,La poupée noire,0,1900,\N,Short
tt0000331La reine des jouets,0,La reine des jouets,0,1900,\N,Short
tt0000332Retour des champs,0,Retour des champs,0,1900,2,Documentary
